Date,Stocks_With_Row,NIFTY50_Row_Present,Reason
2016-01-01,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2016-08-12,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2018-01-01,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2019-01-01,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2019-10-27,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2020-11-14,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2025-03-18,20,True,Systemic Yahoo stock-volume anomaly: 19/20 stocks reported zero volume
2026-01-15,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2026-05-01,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2026-05-28,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
2026-06-26,20,False,Excluded uniformly: all 20 stocks present but Yahoo ^NSEI market-context row unavailable; no interpolation used
